CLUB,PLAYER,Market Value (EUROS)
  Bournemouth,Gavin Kilkenny,300000
  Bournemouth,Marcos Senesi,20000000
  Bournemouth,Chris Mepham,7000000
  Bournemouth,Luis Sinisterra,20000000
  Bournemouth,Julián Araujo,4000000
  Bournemouth,Will Dennis,175000
  Bournemouth,Antoine Semenyo,10000000
  Bournemouth,James Hill,2000000
  Bournemouth,Ben Greenwood,200000
  Bournemouth,Cameron Plain,200000
  Bournemouth,Ilya Zabarnyi,25000000
  Bournemouth,Jaidon Anthony,6500000
  Bournemouth,Evanilson,25000000
  Bournemouth,Milos Kerkez,18000000
  Bournemouth,Daniel Jebbison,1000000
  Bournemouth,Dango Ouattara,20000000
  Bournemouth,Alex Scott,20000000
  Bournemouth,Dean Huijsen,2500000
  Bournemouth,Dominic Sadi,100000
  Bournemouth,Callan McKenna,100000
  Bournemouth,Matai Akinmboni,500000
  Bournemouth,Julio Soler,250000
Liverpool ,Thiago Alcántara,12000000
Liverpool ,Joel Matip,8000000
Liverpool ,Alisson,32000000
Liverpool ,Virgil van Dijk,32000000
Liverpool ,Wataru Endo,13000000
Liverpool ,Mohamed Salah,65000000
Liverpool ,Andrew Robertson,35000000
Liverpool ,Joe Gomez,22000000
Liverpool ,Trent Alexander-Arnold,70000000
Liverpool ,Konstantinos Tsimikas,22000000
Liverpool ,Caoimhín Kelleher,15000000
Liverpool ,Diogo Jota,50000000
Liverpool ,Federico Chiesa,45000000
Liverpool ,Ibrahima Konaté,38000000
Liverpool ,Nathaniel Phillips,4000000
Liverpool ,Curtis Jones,30000000
Liverpool ,Cody Gakpo,50000000
Liverpool ,Dominik Szoboszlai,70000000
Liverpool ,Ryan Gravenberch,35000000
Liverpool ,Luis Díaz,75000000
Liverpool ,Vitezslav Jaros,250000
Liverpool ,Rhys Williams,1800000
Liverpool ,Alexis Mac Allister,65000000
Liverpool ,Darwin Núñez,65000000
Liverpool ,Owen Beck,600000
Liverpool ,Harvey Elliott,30000000
Liverpool ,Mateusz Musialowski,300000
Liverpool ,Tyler Morton,8000000
Liverpool ,Conor Bradley,2000000
Liverpool ,Jarell Quansah,2000000
Liverpool ,Tom Hill,300000
Liverpool ,Marcelo Pitaluga,400000
Liverpool ,Luke Chambers,1500000
Liverpool ,Fabian Mrozek,200000
Liverpool ,Harvey Davies,500000
Liverpool ,Bobby Clark,350000
Liverpool ,Ben Doak,3000000
Liverpool ,Kaide Gordon,1200000
Liverpool ,Calum Scanlon,700000
Liverpool ,James McConnell,300000
Liverpool ,Lewis Koumas,1000000
Liverpool ,Jayden Danns,1000000
Liverpool ,Trey Nyoni,250000
Liverpool ,Amara Nallo,200000
Brighton  ,James Milner,1000000
Brighton  ,Danny Welbeck,6000000
Brighton  ,Jason Steele,3500000
Brighton  ,Joël Veltman,10000000
Brighton  ,Lewis Dunk,14000000
Brighton  ,Solly March,22000000
Brighton  ,Adam Webster,20000000
Brighton  ,Pervis Estupiñán,35000000
Brighton  ,Ferdi Kadıoğlu,17000000
Brighton  ,Igor,15000000
Brighton  ,Tom McGill,600000
Brighton  ,Matt O'Riley,10000000
Brighton  ,Mats Wieffer,18000000
Brighton  ,Marc Leonard,450000
Brighton  ,Steven Alzate,5000000
Brighton  ,Tariq Lamptey,12000000
Brighton  ,Kaoru Mitoma,50000000
Brighton  ,Jensen Weir,300000
Brighton  ,Georginio Rutter,18000000
Brighton  ,Bart Verbruggen,15000000
Brighton  ,Odel Offiah,300000
Brighton  ,Jeremy Sarmiento,4000000
Brighton  ,Jan Paul van Hecke,15000000
Brighton  ,Ed Turns,400000
Brighton  ,Eiran Cashin,1800000
Brighton  ,João Pedro,35000000
Brighton  ,Carl Rushworth,2000000
Brighton  ,Benicio Baker-Boaitey,400000
Brighton  ,Simon Adingra,15000000
Brighton  ,Yasin Ayari,5000000
Brighton  ,Brajan Gruda,5000000
Brighton  ,Cameron Peupion,100000
Brighton  ,Leigh Kavanagh,200000
Brighton  ,Andrew Moran,1200000
Brighton  ,Luca Barrington,150000
Brighton  ,Samy Chouchane,250000
Brighton  ,Ben Jackson,200000
Brighton  ,Jack Hinchy,150000
Brighton  ,Jack Hinshelwood,1000000
Brighton  ,Josh Duffus,500000
Brighton  ,Mark O'Mahony,300000
Brighton  ,Carlos Baleba,20000000
Brighton  ,Diego Gómez,3000000
Brighton  ,Yankuba Minteh,8000000
Nottingham Forest ,Wayne Hennessey,250000
Nottingham Forest ,Harry Arter,400000
Nottingham Forest ,Cheikhou Kouyaté,1000000
Nottingham Forest ,Chris Wood,7000000
Nottingham Forest ,Serge Aurier,7000000
Nottingham Forest ,Matz Sels,7000000
Nottingham Forest ,Willy Boly,2500000
Nottingham Forest ,Divock Origi,5000000
Nottingham Forest ,Felipe,1500000
Nottingham Forest ,Álex Moreno,10000000
Nottingham Forest ,Harry Toffolo,5000000
Nottingham Forest ,Ola Aina,5000000
Nottingham Forest ,Ethan Horvath,1500000
Nottingham Forest ,Taiwo Awoniyi,30000000
Nottingham Forest ,Ibrahim Sangaré,32000000
Nottingham Forest ,Callum Hudson-Odoi,12000000
Nottingham Forest ,Gonzalo Montiel,10000000
Nottingham Forest ,Nikola Milenković,16000000
Nottingham Forest ,Joe Worrall,12000000
Nottingham Forest ,Ryan Yates,12000000
Nottingham Forest ,Morgan Gibbs-White,40000000
Nottingham Forest ,Emmanuel Dennis,7000000
Nottingham Forest ,Nicolás Domínguez,17000000
Nottingham Forest ,Neco Williams,17000000
Nottingham Forest ,Alex Mighten,600000
Nottingham Forest ,Josh Bowler,1500000
Nottingham Forest ,Lewis O'Brien,6000000
Nottingham Forest ,Elliot Anderson,13000000
Nottingham Forest ,Anthony Elanga,18000000
Nottingham Forest ,Carlos Miguel,3000000
Nottingham Forest ,Jota Silva,4000000
Nottingham Forest ,Morato,15000000
Nottingham Forest ,Jamie McDonnell,200000
Nottingham Forest ,Ramón Sosa,6500000
Nottingham Forest ,Danilo,28000000
Nottingham Forest ,Eric da Silva Moreira,1000000
Nottingham Forest ,Joe Gardner,150000
Nottingham Forest ,Detlef Esapa Osong,150000
Nottingham Forest ,Zach Abbott,300000
Nottingham Forest ,Murillo,9000000
Luton Town,Tim Krul,500000
Luton Town,Thomas Kaminski,2800000
Luton Town,James Shea,200000
Luton Town,Luke Berry,400000
Luton Town,Cauley Woodrow,1000000
Luton Town,Jordan Clark,1000000
Luton Town,Dan Potts,900000
Luton Town,Tom Lockyer,3500000
Luton Town,Pelly Ruddock Mpanzu,1500000
Luton Town,Carlton Morris,10000000
Luton Town,Reece Burke,1800000
Luton Town,Amari'i Bell,2500000
Luton Town,Fred Onyedinma,500000
Luton Town,Admiral Muskwe,275000
Luton Town,Elijah Adebayo,7000000
Luton Town,Marvelous Nakamba,5000000
Luton Town,Tahith Chong,4500000
Luton Town,Daiki Hashioka,2000000
Luton Town,Mads Andersen,3000000
Luton Town,Jacob Brown,4000000
Luton Town,Elliot Thorpe,200000
Luton Town,Dion Pereira,175000
Luton Town,Ryan Giles,6000000
Luton Town,John McAtee,300000
Luton Town,Louie Watson,250000
Luton Town,Teden Mengi,7000000
Luton Town,Alfie Doughty,4500000
Luton Town,Axel Piesold,150000
Luton Town,Joe Taylor,350000
Luton Town,Zack Nelson,100000
Luton Town,Jake Burger,100000
Luton Town,Jayden Luker,100000
Luton Town,Joe Johnson,100000
Newcastle United ,John Ruddy,250000
Newcastle United ,Martin Dúbravka,1000000
Newcastle United ,Loris Karius,1000000
Newcastle United ,Matt Ritchie,1000000
Newcastle United ,Kieran Trippier,11000000
Newcastle United ,Callum Wilson,13000000
Newcastle United ,Odysseas Vlachodimos,10000000
Newcastle United ,Dan Burn,10000000
Newcastle United ,Fabian Schär,10000000
Newcastle United ,Mark Gillespie,300000
Newcastle United ,Jeff Hendrick,1200000
Newcastle United ,Paul Dummett,900000
Newcastle United ,Jamaal Lascelles,7000000
Newcastle United ,Emil Krafth,2500000
Newcastle United ,Nick Pope,20000000
Newcastle United ,Jacob Murphy,15000000
Newcastle United ,Isaac Hayden,3000000
Newcastle United ,Matt Targett,10000000
Newcastle United ,Miguel Almirón,30000000
Newcastle United ,Joelinton,42000000
Newcastle United ,Joe Willock,35000000
Newcastle United ,Jamal Lewis,4000000
Newcastle United ,Sean Longstaff,25000000
Newcastle United ,Alexander Isak,70000000
Newcastle United ,Sven Botman,45000000
Newcastle United ,Sandro Tonali,60000000
Newcastle United ,Harvey Barnes,35000000
Newcastle United ,Kell Watts,250000
Newcastle United ,Anthony Gordon,45000000
Newcastle United ,Tino Livramento,30000000
Newcastle United ,Bruno Guimarães,85000000
Newcastle United ,Amadou Diallo,400000
Newcastle United ,Harrison Ashby,1200000
Newcastle United ,William Osula,1000000
Newcastle United ,Joe White,300000
Newcastle United ,Lucas De Bolle,150000
Newcastle United ,Lewis Hall,18000000
Newcastle United ,Michael Ndiweni,200000
Newcastle United ,James Huntley,100000
Newcastle United ,Alex Murphy,250000
Newcastle United ,Ben Parkinson,250000
Newcastle United ,Lewis Miley,2500000
Newcastle United ,Adam Harrison,100000
Newcastle United ,Aidan Harris,200000
Brentford ,Zanka,1000000
Brentford ,Ben Mee,1000000
Brentford ,Mark Flekken,12000000
Brentford ,Christian Nørgaard,20000000
Brentford ,Saman Ghoddos,2000000
Brentford ,Ivan Toney,35000000
Brentford ,Vitaly Janelt,22000000
Brentford ,Mathias Jensen,28000000
Brentford ,Kristoffer Ajer,18000000
Brentford ,Rico Henry,25000000
Brentford ,Josh Dasilva,12000000
Brentford ,Charlie Goode,500000
Brentford ,Yoane Wissa,25000000
Brentford ,Bryan Mbeumo,38000000
Brentford ,Ethan Pinnock,15000000
Brentford ,Nathan Collins,25000000
Brentford ,Paris Maghoma,350000
Brentford ,Kevin Schade,25000000
Brentford ,Hákon Rafn Valdimarsson,1200000
Brentford ,Shandon Baptiste,2500000
Brentford ,Mikkel Damsgaard,10000000
Brentford ,Sepp van den Berg,5000000
Brentford ,Fábio Carvalho,14000000
Brentford ,Myles Peart-Harris,700000
Brentford ,Aaron Hickey,30000000
Brentford ,Keane Lewis-Potter,12000000
Brentford ,Ji-soo Kim,600000
Brentford ,Yegor Yarmolyuk,1000000
Brentford ,Ethan Brierley,300000
Brentford ,Michael Olakigbe,500000
Brentford ,Vincent Angelini,100000
Brentford ,Igor Thiago,6000000
Brentford ,Matthew Cox,800000
Brentford ,Val Adedokun,100000
Brentford ,Michael Kayode,5000000
Brentford ,Ryan Trevitt,275000
Brentford ,Benjamin Fredrick,150000
Brentford ,Gustavo Nunes,100000
Brentford ,Yunus Emre Konak,600000
Brentford ,Benjamin Arthur,250000
Crystal Palace ,James Tomkins,700000
Crystal Palace ,Nathaniel Clyne,1500000
Crystal Palace ,Joel Ward,1000000
Crystal Palace ,Remi Matthews,500000
Crystal Palace ,Will Hughes,9000000
Crystal Palace ,Rob Holding,5000000
Crystal Palace ,Dean Henderson,12000000
Crystal Palace ,Jefferson Lerma,20000000
Crystal Palace ,Ben Chilwell,30000000
Crystal Palace ,Eddie Nketiah,30000000
Crystal Palace ,Daichi Kamada,20000000
Crystal Palace ,Marc Guéhi,38000000
Crystal Palace ,Ismaïla Sarr,20000000
Crystal Palace ,Jean-Philippe Mateta,7000000
Crystal Palace ,Matt Turner,10000000
Crystal Palace ,Maxence Lacroix,20000000
Crystal Palace ,Eberechi Eze,48000000
Crystal Palace ,Daniel Muñoz,10000000
Crystal Palace ,Nathan Ferguson,1000000
Crystal Palace ,Malcolm Ebiowei,3000000
Crystal Palace ,Cheick Doucouré,35000000
Crystal Palace ,Chris Richards,8000000
Crystal Palace ,Jesurun Rak-Sakyi,2000000
Crystal Palace ,Jadan Raymond,200000
Crystal Palace ,John-Kymani Gordon,200000
Crystal Palace ,Joe Whitworth,1000000
Crystal Palace ,Chadi Riad,1000000
Crystal Palace ,Tayo Adaramola,800000
Crystal Palace ,Tyrick Mitchell,22000000
Crystal Palace ,Matheus França,15000000
Crystal Palace ,Adam Wharton,10000000
Crystal Palace ,Justin Devenny,150000
Crystal Palace ,Jack Wells-Morrison,250000
Crystal Palace ,Ademola Ola-Adebomi,250000
Crystal Palace ,Kaden Rodney,200000
Crystal Palace ,David Ozoh,700000
Crystal Palace ,Seán Grehan,150000
Crystal Palace ,Franco Umeh-Chibueze,75000
Crystal Palace ,Romain Esse,900000
West Ham United ,Lukasz Fabianski,700000
West Ham United ,Angelo Ogbonna,700000
West Ham United ,Wes Foderingham,900000
West Ham United ,Niclas Füllkrug,13000000
West Ham United ,Aaron Cresswell,900000
West Ham United ,Michail Antonio,6000000
West Ham United ,Alphonse Areola,10000000
West Ham United ,Danny Ings,9000000
West Ham United ,Kurt Zouma,25000000
West Ham United ,Vladimír Coufal,9000000
West Ham United ,James Ward-Prowse,38000000
West Ham United ,Emerson,12000000
West Ham United ,Tomas Soucek,35000000
West Ham United ,Saïd Benrahma,22000000
West Ham United ,Jarrod Bowen,48000000
West Ham United ,Guido Rodríguez,24000000
West Ham United ,Carlos Soler,20000000
West Ham United ,Edson Álvarez,35000000
West Ham United ,Konstantinos Mavropanos,14000000
West Ham United ,Conor Coventry,1500000
West Ham United ,Andrew Irving,1500000
West Ham United ,Lucas Paquetá,65000000
West Ham United ,Crysencio Summerville,18000000
West Ham United ,Aaron Wan-Bissaka,20000000
West Ham United ,Maximilian Kilman,35000000
West Ham United ,Mohammed Kudus,45000000
West Ham United ,Dan Chesters,200000
West Ham United ,Joseph Anang,250000
West Ham United ,Levi Laing,150000
West Ham United ,Jean-Clair Todibo,35000000
West Ham United ,Evan Ferguson,65000000
West Ham United ,Divin Mubama,800000
West Ham United ,Kamarai Swyer,250000
West Ham United ,George Earthy,200000
West Ham United ,Kaelan Casey,1000000
West Ham United ,Lewis Orford,400000
West Ham United ,Oliver Scarles,400000
West Ham United ,Callum Marshall,1000000
West Ham United ,Luis Guilherme,17000000
Fulham ,Aleksandar Mitrović,28000000
Fulham ,Willian,3000000
Fulham ,Bernd Leno,13000000
Fulham ,Tom Cairney,2000000
Fulham ,Tim Ream,1000000
Fulham ,Marek Rodák,3000000
Fulham ,Andreas Pereira,20000000
Fulham ,Adama Traoré,9000000
Fulham ,Raúl Jiménez,6000000
Fulham ,Kenny Tete,15000000
Fulham ,Harrison Reed,18000000
Fulham ,Alex Iwobi,28000000
Fulham ,Saša Lukić,10000000
Fulham ,Joachim Andersen,35000000
Fulham ,Timothy Castagne,17000000
Fulham ,Issa Diop,22000000
Fulham ,Harry Wilson,17000000
Fulham ,Sander Berge,20000000
Fulham ,Reiss Nelson,15000000
Fulham ,Antonee Robinson,20000000
Fulham ,Steven Benda,1000000
Fulham ,Emile Smith Rowe,30000000
Fulham ,Ryan Sessegnon,13000000
Fulham ,Calvin Bassey,16000000
Fulham ,Jorge Cuenca,5000000
Fulham ,Carlos Vinícius,6000000
Fulham ,Tyrese Francois,500000
Fulham ,Kristian Sekularac,200000
Fulham ,Jay Stansfield,2200000
Fulham ,Rodrigo Muniz,5000000
Fulham ,Devan Tanton,250000
Fulham ,Matt Dibley-Dias,500000
Fulham ,Luke Harris,1000000
Fulham ,Luc De Fougerolles,250000
Fulham ,Josh King,200000
Manchester United ,Casemiro,30000000
Manchester United ,Tom Heaton,250000
Manchester United ,Jonny Evans,2000000
Manchester United ,Christian Eriksen,18000000
Manchester United ,Raphaël Varane,25000000
Manchester United ,Harry Maguire,20000000
Manchester United ,Luke Shaw,38000000
Manchester United ,Victor Lindelöf,18000000
Manchester United ,André Onana,40000000
Manchester United ,Bruno Fernandes,70000000
Manchester United ,Matthijs de Ligt,70000000
Manchester United ,Altay Bayındır,10000000
Manchester United ,Noussair Mazraoui,30000000
Manchester United ,Mason Mount,45000000
Manchester United ,Diogo Dalot,35000000
Manchester United ,Joshua Zirkzee,13000000
Manchester United ,Manuel Ugarte,55000000
Manchester United ,Lisandro Martínez,50000000
Manchester United ,Brandon Williams,5000000
Manchester United ,Amad Diallo,18000000
Manchester United ,Hannibal,12000000
Manchester United ,Rasmus Højlund,65000000
Manchester United ,Dermot Mee,200000
Manchester United ,Radek Vítek,300000
Manchester United ,Toby Collyer,200000
Manchester United ,Joe Hugill,200000
Manchester United ,Daniel Gore,600000
Manchester United ,Alejandro Garnacho,30000000
Manchester United ,Kobbie Mainoo,6000000
Manchester United ,Habeeb Ogunneye,200000
Manchester United ,Leny Yoro,18000000
Manchester United ,Patrick Dorgu,2500000
Manchester United ,Ayden Heaven,300000
Burnley ,Jack Cork,800000
Burnley ,Jay Rodríguez,1000000
Burnley ,Jóhann Berg Gudmundsson,1000000
Burnley ,Nathan Redmond,7000000
Burnley ,Connor Roberts,7000000
Burnley ,Josh Cullen,13000000
Burnley ,Lawrence Vigouroux,300000
Burnley ,Josh Brownhill,18000000
Burnley ,Benson Manuel,6000000
Burnley ,Hannes Delcroix,4000000
Burnley ,Mike Trésor,15000000
Burnley ,Darko Churlinov,2000000
Burnley ,Jordan Beyer,16000000
Burnley ,Scott Twine,3000000
Burnley ,Michael Obafemi,3500000
Burnley ,Lyle Foster,13000000
Burnley ,Vitinho,5000000
Burnley ,Luke McNally,3800000
Burnley ,James Trafford,15000000
Burnley ,CJ Egan-Riley,2000000
Burnley ,Denis Franchi,250000
Burnley ,Dara Costelloe,325000
Burnley ,Aaron Ramsey,15000000
Burnley ,Enock Agyei,800000
Burnley ,Luca Koleosho,6000000
Burnley ,Maxime Estève,7000000
Arsenal ,Jorginho,15000000
Arsenal ,Neto,2500000
Arsenal ,Cédric Soares,2000000
Arsenal ,Raheem Sterling,50000000
Arsenal ,Leandro Trossard,38000000
Arsenal ,Mohamed Elneny,4500000
Arsenal ,Oleksandr Zinchenko,42000000
Arsenal ,Thomas Partey,25000000
Arsenal ,David Raya,32000000
Arsenal ,Kieran Tierney,18000000
Arsenal ,Kai Havertz,60000000
Arsenal ,Martin Ødegaard,90000000
Arsenal ,Takehiro Tomiyasu,30000000
Arsenal ,Ben White,55000000
Arsenal ,Mikel Merino,50000000
Arsenal ,Declan Rice,100000000
Arsenal ,Gabriel Jesus,70000000
Arsenal ,Jurrien Timber,40000000
Arsenal ,Jakub Kiwior,25000000
Arsenal ,Bukayo Saka,120000000
Arsenal ,Gabriel Magalhães,60000000
Arsenal ,William Saliba,70000000
Arsenal ,Riccardo Calafiori,5000000
Arsenal ,Arthur Okonkwo,1800000
Arsenal ,James Sweet,200000
Arsenal ,Gabriel Martinelli,85000000
Arsenal ,Mauro Bandeira,200000
Arsenal ,Charles Sagoe Jr,500000
Arsenal ,Bradley Ibrahim,400000
Arsenal ,Amario Cozier-Duberry,300000
Arsenal ,Reuell Walters,500000
Arsenal ,Ethan Nwaneri,6000000
Arsenal ,Myles Lewis-Skelly,2000000
Manchester City ,Scott Carson,200000
Manchester City ,Mateo Kovacic,38000000
Manchester City ,İlkay Gündoğan,18000000
Manchester City ,Stefan Ortega,9000000
Manchester City ,Kevin De Bruyne,60000000
Manchester City ,Aymeric Laporte,25000000
Manchester City ,Nathan Aké,40000000
Manchester City ,John Stones,38000000
Manchester City ,Jack Grealish,70000000
Manchester City ,Zack Steffen,2500000
Manchester City ,Ederson,40000000
Manchester City ,Bernardo Silva,80000000
Manchester City ,Rúben Dias,80000000
Manchester City ,Manuel Akanji,42000000
Manchester City ,Rodri,100000000
Manchester City ,Phil Foden,110000000
Manchester City ,Erling Haaland,180000000
Manchester City ,Omar Marmoush,8000000
Manchester City ,Nico González,9000000
Manchester City ,Josko Gvardiol,80000000
Manchester City ,Jérémy Doku,60000000
Manchester City ,Josh Wilson-Esbrand,2000000
Manchester City ,James McAtee,12000000
Manchester City ,Matheus Nunes,55000000
Manchester City ,Micah Hamilton,300000
Manchester City ,Oscar Bobb,10000000
Manchester City ,Rico Lewis,38000000
Manchester City ,Savinho,20000000
Manchester City ,Abdukodir Khusanov,800000
Manchester City ,Max Alleyne,500000
Manchester City ,Mahamadou Susoho,1500000
Manchester City ,True Grant,500000
Manchester City ,Jacob Wright,800000
Manchester City ,Claudio Echeverri,12000000
Aston Villa ,Robin Olsen,1500000
Aston Villa ,Philippe Coutinho,9000000
Aston Villa ,Emiliano Martínez,28000000
Aston Villa ,Lucas Digne,15000000
Aston Villa ,Ross Barkley,4500000
Aston Villa ,John McGinn,30000000
Aston Villa ,Calum Chambers,5000000
Aston Villa ,Kortney Hause,2000000
Aston Villa ,Youri Tielemans,20000000
Aston Villa ,Tyrone Mings,16000000
Aston Villa ,Marcus Rashford,75000000
Aston Villa ,Marco Asensio,20000000
Aston Villa ,Ollie Watkins,55000000
Aston Villa ,Donyell Malen,35000000
Aston Villa ,Axel Disasi,40000000
Aston Villa ,Leon Bailey,30000000
Aston Villa ,Boubacar Kamara,38000000
Aston Villa ,Moussa Diaby,55000000
Aston Villa ,Pau Torres,45000000
Aston Villa ,Ezri Konsa,35000000
Aston Villa ,Matty Cash,28000000
Aston Villa ,Ian Maatsen,20000000
Aston Villa ,Amadou Onana,50000000
Aston Villa ,Morgan Rogers,2200000
Aston Villa ,Jacob Ramsey,42000000
Aston Villa ,Oliwier Zych,150000
Aston Villa ,Joe Gauci,550000
Aston Villa ,Filip Marschall,500000
Aston Villa ,Kaine Kesler-Hayden,1800000
Aston Villa ,Lamare Bogarde,450000
Aston Villa ,Jhon Durán,17000000
Aston Villa ,Sebastian Revan,300000
Aston Villa ,James Wright,200000
Aston Villa ,Lino Sousa,2000000
Aston Villa ,Tommi O'Reilly,200000
Aston Villa ,Finley Munroe,100000
Aston Villa ,Josh Feeney,500000
Aston Villa ,Sam Proctor,250000
Aston Villa ,Andrés García,200000
Wolverhampton Wanderers ,Pablo Sarabia,12000000
Wolverhampton Wanderers ,Sam Johnstone,10000000
Wolverhampton Wanderers ,Craig Dawson,2000000
Wolverhampton Wanderers ,Daniel Bentley,2000000
Wolverhampton Wanderers ,Matt Doherty,4000000
Wolverhampton Wanderers ,Tom King,200000
Wolverhampton Wanderers ,Gonçalo Guedes,18000000
Wolverhampton Wanderers ,Nélson Semedo,15000000
Wolverhampton Wanderers ,José Sá,16000000
Wolverhampton Wanderers ,Hee-chan Hwang,18000000
Wolverhampton Wanderers ,Sasa Kalajdzic,12000000
Wolverhampton Wanderers ,Marshall Munetsi,10000000
Wolverhampton Wanderers ,Bruno Jordão,1000000
Wolverhampton Wanderers ,Jørgen Strand Larsen,12000000
Wolverhampton Wanderers ,Tommy Doyle,7000000
Wolverhampton Wanderers ,Santiago Bueno,8000000
Wolverhampton Wanderers ,Louie Moulden,175000
Wolverhampton Wanderers ,Jean-Ricner Bellegarde,15000000
Wolverhampton Wanderers ,Joe Hodge,1800000
Wolverhampton Wanderers ,Matheus Cunha,28000000
Wolverhampton Wanderers ,Luke Cundle,4000000
Wolverhampton Wanderers ,Rayan Aït-Nouri,25000000
Wolverhampton Wanderers ,Toti,14000000
Wolverhampton Wanderers ,Chem Campbell,900000
Wolverhampton Wanderers ,Boubacar Traoré,6000000
Wolverhampton Wanderers ,Rodrigo Gomes,5000000
Wolverhampton Wanderers ,Harvey Griffiths,75000
Wolverhampton Wanderers ,Justin Hubner,200000
Wolverhampton Wanderers ,Emmanuel Agbadou,8000000
Wolverhampton Wanderers ,Yerson Mosquera,3000000
Wolverhampton Wanderers ,Tawanda Chirewa,100000
Wolverhampton Wanderers ,João Gomes,22000000
Wolverhampton Wanderers ,Carlos Forbs,10000000
Wolverhampton Wanderers ,Ty Barnett,150000
Wolverhampton Wanderers ,Aaron Keto-Diyawa,200000
Wolverhampton Wanderers ,André,25000000
Wolverhampton Wanderers ,Noha Lemina,500000
Wolverhampton Wanderers ,Alfie Pond,250000
Wolverhampton Wanderers ,Nasser Djiga,600000
Wolverhampton Wanderers ,Nathan Fraser,1000000
Wolverhampton Wanderers ,Matthew Whittingham,150000
Wolverhampton Wanderers ,Bastien Meupiyou,250000
Wolverhampton Wanderers ,Leon Chiwome,200000
Wolverhampton Wanderers ,Enso González,4000000
Wolverhampton Wanderers ,Pedro Lima,600000
Sheffield United,Chris Basham,300000
Sheffield United,John Fleck,900000
Sheffield United,Oliver Norwood,1500000
Sheffield United,Adam Davies,500000
Sheffield United,John Egan,5000000
Sheffield United,Jack Robinson,1000000
Sheffield United,George Baldock,2500000
Sheffield United,Ben Osborn,1000000
Sheffield United,Max Lowe,2500000
Sheffield United,Tom Davies,6000000
Sheffield United,Gustavo Hamer,16000000
Sheffield United,Mason Holgate,7000000
Sheffield United,Anel Ahmedhodzic,18000000
Sheffield United,Rhian Brewster,3000000
Sheffield United,Ben Brereton Díaz,10000000
Sheffield United,Jayden Bogle,3800000
Sheffield United,Ismaila Coulibaly,900000
Sheffield United,Rhys Norrington-Davies,2500000
Sheffield United,Anis Slimane,2500000
Sheffield United,Yasser Larouci,3000000
Sheffield United,Femi Seriki,200000
Sheffield United,Vini Souza,12000000
Sheffield United,Antwoine Hackford,500000
Sheffield United,Evan Easton,100000
Sheffield United,Sydie Peck,200000
Sheffield United,Andre Brooks,2500000
Sheffield United,Bénie Traoré,4000000
Sheffield United,Louie Marsh,100000
Sheffield United,Oliver Arblaster,450000
Sheffield United,Billy Blacker,100000
Sheffield United,Ryan Oné,200000
Sheffield United,Jili Buyabu,200000
Chelsea ,Thiago Silva,2000000
Chelsea ,Marcus Bettinelli,1000000
Chelsea ,Tosin Adarabioyo,12000000
